Persian,Tajik
و,Ва
که,Ки
به,Ба
از,Аз
در,дар
را,зарра барои объекти мустақим
این,Ин
با,Бо
است,Аст
هم,Ҳарду
رو,Рӯй
برای,Ба
من,Ман
می,Май
بود,Буд
یک,Як
آن,он
تا,то даме ки
یا,Ё
یه,як
تو,Шумо
اما,Аммо
ما,Мо
هر,Ҳар
شده,Буд
های,.
خود,Худ
باید,Боистан
شد,шуд
شما,Шумо
سال,Сол
چه,Чӣ
کرد,Курд
توی,Дар
او,Вай
بعد,Баъдӣ
نیست,нест
ها,Ман мебинам
باشد,Будан
نه,Нест
اگر,Агар
بر,Даргирондан
همه,Ҳама
خیلی,Хеле
کار,Кор
ولی,Аммо
روز,Рӯз
کنم,Ба
کنید,кардан
همین,Ин
دارد,дорад
گفت,гуфт
فقط,Танҳо
دو,ду
خدا,Худо
اینکه,Ки
روی,Даргирондан
کردم,ман кардам
چند,Чӣ қадар
اون,ки
فکر,Фикр
کرده,анҷом
یکی,Як
شود,Шудан
وقتی,кай
کند,Оҳиста
هیچ,Ҳеь
دست,Даст
دیگر,Дигар
زندگی,Зиндагӣ
ای,Оҳ ту
تمام,пур
حال,Ҳозир
حتی,Ҳатто
خودم,аз ҷониби худам
چیزی,Чизе
دارم,ман дорам
پیش,Пеш
کردن,кардан
وجود,Ҳастӣ
قرار,Интихобшавӣ
دیگه,дигар
بودم,ман будам
مثل,Мисли
کتاب,Китоб
کسی,Касе
سر,Сар
داشته,Он дорад
پس,Ҳамин тавр
می‌شود,Он мегардад
حالا,Ҳозир
استفاده,Истифода бурдан
می‌کنم,ман мекунам
چرا,Чаро
بیشتر,Бештар
مردم,Мардум
شاید,Мумкин
کنیم,кардан
خوب,Хуб
راه,Роҳ
